id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
57110028bc74b,48,Female,32,no,objTwoColors,#FF007F,0,323,89,5,Red      ,Magenta  ,0.83,0.09,0.12,0.19,0.23,0.18,0.11,0.11,0.08,0.11,0.11,0.61,0.59,0.41,0.59
57112d8509632,45,Female,32,no,objTwoColors,#FF007F,350,229,180,2,Red      ,Blue     ,1.04,0.26,0.14,0.09,0.2,0.12,0.24,0.26,0.43,0.26,0.26,0.81,0.8,0.63,0.8
571154184c9bd,47,Female,32,no,objTwoColors,#FF007F,13,0,72,1,Red      ,Red      ,0.82,0.16,0.09,0.23,0.29,0.24,0.36,0.34,0.16,0.35,0.34,0.6,0.58,0.38,0.56
571183866d73f,48,Female,32,no,objTwoColors,#FF007F,357,0,223,5,Red      ,Red      ,0.83,0.16,0.06,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
571290e28820b,43,Female,10,no,objTwoColors,#FF007F,7,0,132,5,Red      ,Red      ,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5713b10383207,40,Male,32,no,objTwoColors,#FF007F,350,0,155,4,Red      ,Red      ,0.81,0.15,0.06,0.23,0.29,0.25,0.35,0.34,0.16,0.34,0.34,0.58,0.57,0.37,0.55
5713ce8c57c5e,40,Female,2,no,objTwoColors,#FF007F,291,342,324,5,Navy-Blue,Red      ,0.4,0.11,0.25,0.13,0.17,0.11,0.67,0.66,0.48,0.67,0.66,0.34,0.35,0.5,0.34
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF007A,348,0,535,2,Red      ,Red      ,0.8,0.15,0.06,0.23,0.29,0.24,0.36,0.35,0.16,0.35,0.35,0.57,0.56,0.36,0.54
5740ad339507d,40,Male,32,yes,objTwoColors,#FF007A,347,0,111,2,Red      ,Red      ,0.79,0.15,0.06,0.23,0.28,0.24,0.37,0.35,0.17,0.36,0.35,0.57,0.56,0.36,0.54
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF007A,330,0,512,3,Magenta  ,Red      ,0.67,0.11,0.11,0.2,0.25,0.2,0.49,0.48,0.29,0.48,0.48,0.45,0.44,0.27,0.42
