id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#8000FF,7,225,216,4,Red      ,Blue     ,0.77,0.1,0.37,0.1,0.15,0.16,0.82,0.61,0.61
5710cbe10cade,21,Male,15,no,objTwoColors,#8000FF,253,276,402,4,Blue     ,Blue     ,0.15,0.04,0.44,0.13,0.04,0.11,0.54,0.47,0.48
5710cbf204d10,22,Male,3,no,objTwoColors,#8000FF,6,300,767,3,Red      ,Pink     ,0.59,0.35,0.37,0.16,0.33,0.24,0.64,0.44,0.43
5710cc5a7829c,27,Male,32,no,objTwoColors,#8000FF,269,0,181,4,Blue     ,Red      ,0.38,0.21,0.05,0.11,0.24,0.18,0.32,0.6,0.6
5710cd0a515bb,25,Male,7,no,objTwoColors,#8000FF,307,235,206,4,Pink     ,Blue     ,0.45,0.01,0.29,0.06,0,0.04,0.57,0.46,0.46
5710cd99df604,23,Female,32,no,objTwoColors,#8000FF,354,239,170,3,Red      ,Blue     ,0.77,0.1,0.38,0.09,0.11,0.14,0.84,0.62,0.62
5710ce6c1308c,23,Female,32,no,objTwoColors,#8000FF,352,218,160,5,Red      ,Blue     ,0.74,0.05,0.37,0.09,0.13,0.15,0.79,0.59,0.58
5710cf445718e,25,Male,32,no,objTwoColors,#8000FF,300,184,245,3,Pink     ,Blue     ,0.38,0.07,0.2,0.1,0.09,0.09,0.45,0.41,0.41
5710d140b7c5a,26,Male,32,no,objTwoColors,#8000FF,230,37,74,3,Blue     ,Yellow   ,0.31,0.2,0.06,0.12,0.2,0.15,0.37,0.6,0.6
5710d71ff24c3,20,Female,32,no,objTwoColors,#8000FF,107,59,528,5,Green    ,Green    ,0.89,0.48,0.19,0.26,0.48,0.42,0.6,0.56,0.56
5710d9dcc23f0,21,Male,18,no,objTwoColors,#8000FF,229,313,186,4,Blue     ,Pink     ,0.05,0.01,0.4,0.04,0.01,0.02,0.35,0.33,0.33
5710e60f69205,24,Female,31,no,objTwoColors,#8000FF,254,357,329,4,Blue     ,Red      ,0.33,0.15,0.05,0.09,0.17,0.15,0.35,0.62,0.62
5710ee9e58646,25,Female,32,yes,objTwoColors,#8000FF,326,223,389,4,Magenta  ,Blue     ,0.57,0,0.34,0.03,0.04,0.03,0.65,0.48,0.47
571103343658b,20,Female,32,no,objTwoColors,#8000FF,268,265,297,5,Blue     ,Blue     ,0.23,0.03,0.4,0.12,0.02,0.11,0.56,0.49,0.49
57111f6c42412,22,Male,34,no,objTwoColors,#8000FF,271,0,266,5,Blue     ,Red      ,0.38,0.21,0.05,0.11,0.25,0.19,0.31,0.59,0.59
5711231e370f2,24,Male,32,yes,objTwoColors,#8000FF,0,286,264,4,Red      ,Purple   ,0.66,0.27,0.38,0.13,0.3,0.21,0.72,0.51,0.51
57112da850667,22,Female,47,no,objTwoColors,#8000FF,241,325,157,4,Blue     ,Magenta  ,0.14,0.04,0.08,0.03,0.03,0.01,0.27,0.43,0.43
57112f57403ee,25,Female,14,no,objTwoColors,#8000FF,8,218,117,4,Red      ,Blue     ,0.75,0.09,0.37,0.1,0.17,0.17,0.8,0.59,0.59
571130c5cd6e9,24,Female,32,no,objTwoColors,#8000FF,7,237,71,4,Red      ,Blue     ,0.78,0.13,0.38,0.09,0.13,0.15,0.83,0.62,0.62
571130d934bda,22,Female,32,no,objTwoColors,#8000FF,171,300,216,5,Green    ,Pink     ,0.36,0.07,0.21,0.1,0.1,0.12,0.34,0.07,0.07
57113163e6fb1,20,Female,10,no,objTwoColors,#8000FF,236,46,406,5,Blue     ,Green    ,0.32,0.25,0.05,0.14,0.19,0.15,0.42,0.63,0.63
571137a34931a,27,Female,25,no,objTwoColors,#8000FF,183,123,170,2,Blue     ,Green    ,0.69,0.39,0.27,0.2,0.39,0.32,0.45,0.48,0.48
571138253c724,21,Male,8,no,objTwoColors,#8000FF,243,308,198,3,Blue     ,Pink     ,0.01,0.01,0.47,0.06,0,0.04,0.39,0.33,0.33
57113a5534205,22,Male,31,no,objTwoColors,#8000FF,238,3,180,5,Blue     ,Red      ,0.33,0.12,0.06,0.09,0.13,0.15,0.35,0.63,0.63
57113b7f16c4b,22,Male,31,no,objTwoColors,#8000FF,236,303,398,1,Blue     ,Pink     ,0.03,0.02,0.45,0.06,0,0.05,0.42,0.35,0.35
57113d9cc42b5,21,Female,12,no,objTwoColors,#8000FF,222,303,0,4,Blue     ,Pink     ,0.05,0.04,0.33,0.06,0.01,0.04,0.39,0.32,0.32
57113de4aed1a,21,Male,31,no,objTwoColors,#8000FF,109,223,223,3,Green    ,Blue     ,0.76,0.31,0.13,0.17,0.29,0.19,0.73,0.46,0.45
57113e6176346,23,Female,30,no,objTwoColors,#8000FF,0,285,139,5,Red      ,Purple   ,0.66,0.26,0.38,0.13,0.29,0.21,0.72,0.51,0.51
57114d8a4c057,22,Male,9,no,objTwoColors,#8000FF,270,271,187,5,Blue     ,Blue     ,0.22,0.02,0.4,0.11,0.01,0.1,0.54,0.46,0.46
571151812791a,20,Male,32,yes,objTwoColors,#8000FF,14,222,133,3,Red      ,Blue     ,0.75,0.11,0.36,0.1,0.17,0.16,0.8,0.59,0.58
5711641931da5,20,Female,32,no,objTwoColors,#8000FF,230,302,156,4,Blue     ,Pink     ,0.04,0.03,0.4,0.06,0,0.05,0.41,0.35,0.35
57116b9b879bf,20,Male,32,no,objTwoColors,#8000FF,310,233,58,3,Pink     ,Blue     ,0.47,0.01,0.3,0.05,0,0.03,0.58,0.46,0.46
5711760a3dfe0,21,Male,8,no,objTwoColors,#8000FF,232,25,170,5,Blue     ,Orange   ,0.3,0.17,0.06,0.1,0.16,0.14,0.35,0.6,0.61
57119224388ef,24,Male,31,no,objTwoColors,#8000FF,51,131,126,5,Green    ,Green    ,0.93,0.49,0.22,0.26,0.47,0.41,0.71,0.64,0.64
5711ace2ee7ed,24,Male,32,no,objTwoColors,#8000FF,4,223,97,4,Red      ,Blue     ,0.76,0.09,0.38,0.1,0.15,0.16,0.81,0.61,0.6
5711cbde51bb0,24,Male,31,no,objTwoColors,#8000FF,228,41,123,3,Blue     ,Yellow   ,0.32,0.21,0.07,0.13,0.22,0.15,0.39,0.61,0.61
571210e10d88b,23,Male,19,no,objTwoColors,#8000FF,272,0,438,5,Blue     ,Red      ,0.39,0.22,0.05,0.11,0.25,0.19,0.31,0.59,0.59
571214121717c,22,Male,32,no,objTwoColors,#8000FF,1,238,119,5,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
5712197fbccd5,24,Female,32,no,objTwoColors,#8000FF,0,288,186,4,Red      ,Navy-Blue,0.65,0.28,0.38,0.14,0.3,0.22,0.71,0.5,0.5
57121e2a63601,21,Male,31,no,objTwoColors,#8000FF,252,0,50,3,Blue     ,Red      ,0.33,0.15,0.06,0.09,0.16,0.16,0.35,0.63,0.63
57122801e1da9,23,Male,17,no,objTwoColors,#8000FF,14,233,116,4,Red      ,Blue     ,0.77,0.14,0.36,0.09,0.14,0.15,0.82,0.61,0.6
57122e814fb61,26,Male,4,no,objTwoColors,#8000FF,230,322,59,2,Blue     ,Magenta  ,0.11,0.01,0.11,0.03,0.02,0.01,0.28,0.4,0.4
57123bec83e8e,21,Male,32,no,objTwoColors,#8000FF,353,218,531,2,Red      ,Blue     ,0.74,0.05,0.37,0.1,0.13,0.15,0.8,0.59,0.59
57123e4050550,20,Female,40,no,objTwoColors,#8000FF,250,323,252,3,Blue     ,Magenta  ,0.11,0.06,0.09,0.03,0.03,0.01,0.28,0.42,0.42
571247f66fb51,27,Male,32,no,objTwoColors,#8000FF,237,285,424,3,Blue     ,Purple   ,0.12,0.05,0.44,0.11,0.04,0.1,0.5,0.44,0.44
571260c120253,22,Male,32,no,objTwoColors,#8000FF,234,286,206,2,Blue     ,Purple   ,0.11,0.05,0.43,0.1,0.03,0.09,0.5,0.44,0.44
57127bcfaafb0,22,Female,32,no,objTwoColors,#8000FF,9,235,140,4,Red      ,Blue     ,0.78,0.13,0.37,0.09,0.13,0.15,0.83,0.62,0.61
5712bd55a8a13,27,Female,32,no,objTwoColors,#8000FF,263,0,218,3,Blue     ,Red      ,0.36,0.19,0.05,0.1,0.22,0.17,0.33,0.61,0.61
5712c2b021f58,22,Female,32,no,objTwoColors,#8000FF,198,7,99,4,Navy-Blue,Red      ,0.48,0.04,0.25,0.13,0.23,0.22,0.18,0.46,0.46
5712c57f97f25,25,Female,31,no,objTwoColors,#8000FF,287,227,257,3,Purple   ,Blue     ,0.34,0.06,0.23,0.1,0.03,0.08,0.55,0.47,0.47
5713923c1bbc7,24,Female,27,no,objTwoColors,#8000FF,3,288,811,3,Red      ,Navy-Blue,0.65,0.29,0.37,0.14,0.3,0.22,0.71,0.5,0.49
5713a02a13044,24,Female,32,yes,objTwoColors,#8000FF,290,248,427,2,Navy-Blue,Blue     ,0.37,0.02,0.24,0.09,0.03,0.08,0.56,0.48,0.48
5713dd915ca28,24,Female,20,no,objTwoColors,#8000FF,216,331,132,1,Blue     ,Magenta  ,0.23,0,0.17,0.04,0.06,0.07,0.16,0.42,0.42
5713e73998df9,25,Male,4,no,objTwoColors,#8000FF,237,316,113,3,Blue     ,Pink     ,0.07,0.01,0.47,0.03,0.01,0.02,0.34,0.37,0.37
5713fc80c942a,23,Female,32,no,objTwoColors,#8000FF,231,326,236,5,Blue     ,Magenta  ,0.14,0.02,0.1,0.03,0.03,0.02,0.25,0.43,0.43
571410751e7b0,22,Female,12,no,objTwoColors,#8000FF,220,315,335,2,Blue     ,Pink     ,0.09,0.03,0.17,0.04,0.02,0.02,0.3,0.32,0.32
572767049ccfa,24,Male,32,yes,objTwoColors,#B100FF,329,349,355,4,Magenta  ,Red      ,0.68,0.4,0.25,0.18,0.39,0.31,0.4,0.56,0.56
572c85675a5ef,23,Male,32,yes,objTwoColors,#8000FF,271,270,263,5,Blue     ,Blue     ,0.23,0.02,0.4,0.11,0.01,0.1,0.53,0.47,0.47
5734918f46823,26,Male,32,no,objTwoColors,#8000FF,2,209,49,2,Red      ,NA       ,0.73,0.05,0.37,0.11,0.18,0.19,0.78,0.58,0.58
5735d3455a84c,29,Male,32,no,objTwoColors,#8000FF,247,295,192,4,Blue     ,Pink     ,0.06,0.01,0.46,0.07,0.02,0.07,0.46,0.39,0.39
5738cf3d97a58,23,Male,32,no,objTwoColors,#8000FF,236,282,254,4,Blue     ,Purple   ,0.14,0.05,0.44,0.11,0.04,0.1,0.52,0.46,0.46
573a0b8280839,29,Male,21,yes,objTwoColors,#B100FF,0,322,104,3,Red      ,Magenta  ,0.65,0.41,0.36,0.19,0.39,0.32,0.51,0.48,0.48
573e4022949b1,24,Male,32,yes,objTwoColors,#B100FF,280,0,85,5,Blue     ,Red      ,0.42,0.25,0.06,0.12,0.28,0.2,0.3,0.57,0.57
573e47c26cb8e,24,Male,32,yes,objTwoColors,#B100FF,41,256,127,3,Yellow   ,Blue     ,0.73,0.31,0.26,0.13,0.21,0.15,0.73,0.48,0.48
573e4d0eb795b,24,Male,32,yes,objTwoColors,#B100FF,282,0,228,4,Purple   ,Red      ,0.43,0.25,0.06,0.13,0.29,0.21,0.29,0.57,0.57
573ec4275ba17,24,Female,32,yes,objTwoColors,#B100FF,73,230,258,5,Yellow   ,Blue     ,0.74,0.4,0.16,0.15,0.26,0.17,0.73,0.45,0.45
573edae85268b,27,Male,32,yes,objTwoColors,#B100FF,229,300,171,4,Blue     ,Pink     ,0.05,0.04,0.39,0.06,0,0.05,0.42,0.36,0.36
574297edae49c,24,Male,32,no,objTwoColors,#8000FF,336,238,213,3,Red      ,Blue     ,0.67,0.06,0.36,0.04,0.05,0.06,0.75,0.55,0.54
57451c3b38192,23,Female,32,no,objTwoColors,#8000FF,0,267,206,5,Red      ,Blue     ,0.74,0.2,0.38,0.11,0.24,0.18,0.8,0.59,0.59
5745500f6e643,24,Female,32,no,objTwoColors,#8000FF,226,327,138,3,Blue     ,Magenta  ,0.16,0.01,0.12,0.03,0.04,0.03,0.23,0.43,0.43
57459c393bbd0,29,Male,31,no,objTwoColors,#8000FF,7,229,80,4,Red      ,Blue     ,0.77,0.11,0.37,0.09,0.14,0.16,0.83,0.61,0.61
