id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
57110028bc74b,48,Female,32,no,objTwoColors,#8000FF,0,206,107,5,Red      ,Navy-Blue,0.72,0.04,0.37,0.12,0.19,0.2,0.77,0.57,0.57
57112d8509632,45,Female,32,no,objTwoColors,#8000FF,9,243,147,1,Red      ,Blue     ,0.78,0.15,0.37,0.09,0.13,0.15,0.84,0.62,0.61
57114ae35c9ec,47,Female,11,no,objTwoColors,#8000FF,0,198,863,2,Red      ,Navy-Blue,0.72,0.02,0.37,0.13,0.21,0.22,0.75,0.56,0.56
571154184c9bd,47,Female,32,no,objTwoColors,#8000FF,226,0,13,5,Blue     ,Red      ,0.35,0.09,0.08,0.1,0.14,0.16,0.33,0.61,0.61
571183866d73f,48,Female,32,no,objTwoColors,#8000FF,53,98,139,5,Green    ,Green    ,0.92,0.47,0.22,0.26,0.47,0.41,0.7,0.64,0.63
5712a47f6f8a6,44,Male,12,no,objTwoColors,#8000FF,185,331,272,2,Blue     ,Magenta  ,0.41,0.05,0.25,0.1,0.15,0.16,0.05,0.23,0.23
5713b10383207,40,Male,32,no,objTwoColors,#8000FF,338,169,590,2,Red      ,Green    ,0.7,0.06,0.33,0.12,0.21,0.23,0.64,0.56,0.55
573664e1a4a96,49,Male,18,no,objTwoColors,#8000FF,232,314,73,5,Blue     ,Pink     ,0.04,0.01,0.43,0.04,0.01,0.02,0.35,0.34,0.35
573c70dabcfe0,49,Male,32,yes,objTwoColors,#B100FF,53,14,71,3,Green    ,Red      ,0.82,0.45,0.22,0.23,0.44,0.37,0.45,0.53,0.52
5740ad339507d,40,Male,32,yes,objTwoColors,#B100FF,5,218,89,3,Red      ,Blue     ,0.75,0.08,0.37,0.1,0.16,0.17,0.8,0.6,0.59
5740e3f36a945,49,Female,32,yes,objTwoColors,#B100FF,280,0,196,3,Blue     ,Red      ,0.42,0.25,0.06,0.12,0.28,0.2,0.3,0.57,0.57
