id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
57110028bc74b,48,Female,32,no,objTwoColors,#0080FF,0,182,164,5,Red      ,Blue     ,0.61,0.09,0.04,0.05,0.02,0.02,0.61,0.57,0.51,0.61,0.57,0.66
57112d8509632,45,Female,32,no,objTwoColors,#0080FF,236,184,123,3,Blue     ,Blue     ,0.74,0.03,0.37,0.16,0.25,0.27,0.08,0.12,0.15,0.08,0.12,0.78
571154184c9bd,47,Female,32,no,objTwoColors,#0080FF,232,0,8,5,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
57117fe7495aa,48,Female,5,no,objTwoColors,#0080FF,0,178,386,5,Red      ,Blue     ,0.62,0.41,0.04,0.05,0.02,0.02,0.59,0.55,0.54,0.59,0.55,0.68
571183866d73f,48,Female,32,no,objTwoColors,#0080FF,59,88,195,5,Green    ,Green    ,0.53,0.4,0.27,0.11,0.18,0.16,0.73,0.7,0.73,0.73,0.7,0.65
5712a47f6f8a6,44,Male,12,no,objTwoColors,#0080FF,0,182,192,3,Red      ,Blue     ,0.61,0.09,0.04,0.05,0.02,0.02,0.61,0.57,0.51,0.61,0.57,0.66
5713b10383207,40,Male,32,no,objTwoColors,#0080FF,152,58,130,4,Teal     ,Green    ,0.44,0.43,0.35,0.09,0.17,0.14,0.66,0.64,0.65,0.66,0.64,0.6
573664e1a4a96,49,Male,18,no,objTwoColors,#0080FF,181,276,158,2,Blue     ,Blue     ,0.43,0.11,0.31,0.12,0.22,0.23,0.54,0.51,0.32,0.54,0.51,0.32
573c70dabcfe0,49,Male,32,yes,objTwoColors,#0000FF,128,67,431,2,Green    ,Yellow   ,0.37,0.42,0.39,0.11,0.21,0.18,0.75,0.73,0.76,0.75,0.73,0.5
5740ad339507d,40,Male,32,yes,objTwoColors,#0000FF,117,53,348,3,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.75,0.77,0.78,0.75,0.49
5740e3f36a945,49,Female,32,yes,objTwoColors,#0000FF,217,0,79,2,Blue     ,Red      ,0.82,0.1,0.27,0.08,0.15,0.13,0.44,0.43,0.49,0.44,0.43,1.01
