id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#0080FF,217,180,469,4,Blue     ,Blue     ,0.69,0.04,0.22,0.13,0.16,0.23,0.1,0.09,0.13,0.1,0.09,0.75
5710cbe10cade,21,Male,15,no,objTwoColors,#0080FF,226,210,133,4,Blue     ,Blue     ,0.71,0.07,0.33,0.19,0.28,0.33,0.25,0.26,0.21,0.25,0.26,0.61
5710cc5a7829c,27,Male,32,no,objTwoColors,#0080FF,209,0,85,4,NA       ,Red      ,0.78,0.09,0.24,0.07,0.12,0.1,0.49,0.47,0.46,0.49,0.47,0.97
5710cca334d60,25,Female,1,no,objTwoColors,#0080FF,59,98,992,4,Green    ,Green    ,0.54,0.41,0.27,0.11,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
5710cd99df604,23,Female,32,no,objTwoColors,#0080FF,203,209,260,2,Navy-Blue,NA       ,0.59,0.01,0.23,0.16,0.21,0.28,0.35,0.33,0.15,0.35,0.33,0.5
5710ce6c1308c,23,Female,32,no,objTwoColors,#0080FF,232,0,106,4,Blue     ,Red      ,0.87,0.12,0.37,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5710cf445718e,25,Male,32,no,objTwoColors,#0080FF,0,235,41,5,Red      ,Blue     ,0.64,0.12,0.08,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
5710d140b7c5a,26,Male,32,no,objTwoColors,#0080FF,228,0,54,3,Blue     ,Red      ,0.86,0.11,0.35,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5710d71ff24c3,20,Female,32,no,objTwoColors,#0080FF,125,53,416,5,Green    ,Green    ,0.35,0.41,0.39,0.12,0.2,0.17,0.78,0.74,0.76,0.78,0.74,0.49
5710dc97aac05,20,Male,6,no,objTwoColors,#0080FF,0,173,152,3,Red      ,Green    ,0.64,0.41,0.03,0.05,0.02,0.03,0.56,0.53,0.56,0.56,0.53,0.71
5710e60f69205,24,Female,31,no,objTwoColors,#0080FF,52,132,259,4,Green    ,Green    ,0.57,0.42,0.25,0.12,0.19,0.16,0.73,0.69,0.73,0.73,0.69,0.68
5710ea84d4c6f,25,Male,5,no,objTwoColors,#0080FF,226,0,87,5,Blue     ,Red      ,0.86,0.11,0.33,0.09,0.17,0.16,0.41,0.42,0.52,0.41,0.42,1.05
5710ee9e58646,25,Female,32,yes,objTwoColors,#0080FF,10,242,620,2,Red      ,Blue     ,0.62,0.16,0.09,0.08,0.18,0.18,0.86,0.83,0.66,0.86,0.83,0.45
571103343658b,20,Female,32,no,objTwoColors,#0080FF,1,211,617,5,Red      ,Blue     ,0.59,0.09,0.07,0.07,0.12,0.11,0.78,0.74,0.58,0.78,0.74,0.49
57111f6c42412,22,Male,34,no,objTwoColors,#0080FF,203,0,90,5,Navy-Blue,Red      ,0.74,0.09,0.23,0.05,0.1,0.08,0.52,0.5,0.47,0.52,0.5,0.93
5711231e370f2,24,Male,32,yes,objTwoColors,#0080FF,0,194,88,4,Red      ,Sky-Blue ,0.58,0.09,0.05,0.03,0.06,0.05,0.68,0.64,0.48,0.68,0.64,0.59
57112cec29456,26,Male,11,no,objTwoColors,#0080FF,209,208,260,5,NA       ,NA       ,0.63,0.02,0.21,0.17,0.22,0.29,0.31,0.29,0.14,0.31,0.29,0.54
