id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710d28fec2d1,30,Male,32,no,objTwoColors,#80FF00,0,84,211,1,Red      ,DK-Green ,0.5,0.19,0.27,0.13,0.18,0.14,0.48,0.49,0.55,0.5,0.49,0.64,0.22,0.23
5710d87585247,31,Male,3,no,objTwoColors,#80FF00,50,149,529,2,Green    ,Teal     ,0.32,0.02,0.2,0.06,0.05,0.05,0.38,0.39,0.5,0.39,0.39,0.66,0.38,0.38
5711106ab212a,33,Male,32,no,objTwoColors,#80FF00,43,216,101,3,Yellow   ,Blue     ,0.67,0.04,0.18,0.16,0.22,0.25,0.71,0.71,0.8,0.72,0.71,0.97,0.46,0.47
5711148c11035,35,Male,22,no,objTwoColors,#80FF00,155,56,996,2,Cyan     ,Green    ,0.13,0.03,0.24,0.07,0.06,0.06,0.12,0.12,0.24,0.12,0.12,0.43,0.62,0.63
571153ca15566,32,Male,32,no,objTwoColors,#80FF00,166,57,56,3,Green    ,Green    ,0.2,0.04,0.2,0.09,0.08,0.09,0.05,0.05,0.17,0.05,0.05,0.36,0.62,0.63
571252e6d2e70,31,Female,32,no,objTwoColors,#80FF00,57,180,221,5,Green    ,Blue     ,0.4,0.05,0.22,0.1,0.1,0.13,0.48,0.49,0.6,0.5,0.49,0.77,0.32,0.33
57153eb9b4bed,35,Female,31,no,objTwoColors,#80FF00,0,102,102,3,Red      ,Green    ,0.55,0.14,0.27,0.12,0.09,0.11,0.53,0.53,0.6,0.54,0.53,0.69,0.23,0.24
57190633f233f,30,Male,32,no,objTwoColors,#80FF00,62,200,328,4,Green    ,Navy-Blue,0.49,0.04,0.24,0.14,0.14,0.17,0.59,0.59,0.69,0.6,0.59,0.88,0.45,0.46
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,197,53,385,5,LI-Blue  ,Green    ,0.4,0.04,0.18,0.12,0.14,0.17,0.17,0.17,0.05,0.15,0.17,0.2,0.68,0.68
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,115,98,423,3,Green    ,Green    ,0.15,0.04,0.32,0.08,0.04,0.07,0.37,0.38,0.51,0.39,0.38,0.68,0.66,0.67
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,193,55,114,5,Sky-Blue ,Green    ,0.37,0.04,0.17,0.12,0.13,0.16,0.14,0.14,0.04,0.13,0.14,0.22,0.66,0.67
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,160,52,77,3,Green    ,Green    ,0.18,0.04,0.22,0.07,0.07,0.08,0.11,0.11,0.19,0.1,0.11,0.42,0.63,0.63
5745b5cbe3caa,34,Female,32,no,objTwoColors,#80FF00,85,0,182,3,DK-Green ,Red      ,0.32,0.19,0.28,0.13,0.18,0.14,0.5,0.5,0.58,0.48,0.5,0.81,0.76,0.77
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,199,65,157,4,Navy-Blue,Yellow   ,0.41,0.04,0.18,0.15,0.13,0.17,0.18,0.19,0.1,0.2,0.19,0.18,0.68,0.68
