id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
57110028bc74b,48,Female,32,no,objTwoColors,#80FF00,0,73,161,5,Red      ,Yellow   ,0.46,0.22,0.27,0.14,0.21,0.16,0.44,0.45,0.51,0.46,0.45,0.6,0.21,0.22
57112d8509632,45,Female,32,no,objTwoColors,#80FF00,56,251,286,5,Green    ,Blue     ,0.66,0.36,0.22,0.16,0.27,0.27,0.73,0.74,0.84,0.74,0.74,1.02,0.59,0.59
571154184c9bd,47,Female,32,no,objTwoColors,#80FF00,108,0,29,5,Green    ,Red      ,0.29,0.13,0.31,0.12,0.09,0.11,0.51,0.51,0.59,0.49,0.51,0.83,0.82,0.82
571183866d73f,48,Female,32,no,objTwoColors,#80FF00,217,55,137,5,Blue     ,Green    ,0.51,0.04,0.28,0.15,0.19,0.23,0.28,0.28,0.17,0.27,0.28,0.07,0.74,0.75
571290e28820b,43,Female,10,no,objTwoColors,#80FF00,50,196,80,5,Green    ,LI-Blue  ,0.52,0.04,0.2,0.12,0.14,0.18,0.58,0.59,0.68,0.59,0.59,0.86,0.38,0.38
5713b10383207,40,Male,32,no,objTwoColors,#80FF00,211,58,98,4,Blue     ,Green    ,0.47,0.04,0.24,0.15,0.17,0.21,0.24,0.24,0.15,0.24,0.24,0.09,0.72,0.73
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF00,66,124,472,3,Yellow   ,Green    ,0.26,0.01,0.24,0.05,0.02,0.02,0.36,0.37,0.5,0.38,0.37,0.67,0.53,0.54
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF00,203,57,101,4,Navy-Blue,Green    ,0.42,0.04,0.2,0.14,0.15,0.19,0.19,0.19,0.09,0.19,0.19,0.14,0.69,0.7
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF00,257,54,222,2,Blue     ,Green    ,0.56,0.36,0.39,0.16,0.27,0.27,0.33,0.33,0.21,0.32,0.33,0.03,0.77,0.77
5776cc574bf84,45,Female,21,no,objTwoColors,#80FF00,245,65,1007,5,Blue     ,Yellow   ,0.57,0.12,0.4,0.18,0.26,0.27,0.34,0.35,0.26,0.36,0.35,0.03,0.78,0.77
