id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
5710d28fec2d1,30,Male,32,no,objTwoColors,#00FF00,0,256,111,1,Red      ,Blue     ,0.9,0.41,0.21,0.17,0.32,0.27,0.92,0.93,0.9,0.93,0.93,0.72,0.73,0.59,0.73,0.73,0.31,0.32,1.06
5711106ab212a,33,Male,32,no,objTwoColors,#00FF00,53,223,169,3,Green    ,Blue     ,0.72,0.04,0.13,0.06,0.15,0.16,0.65,0.66,0.64,0.66,0.66,0.45,0.45,0.33,0.45,0.45,0.54,0.55,1
57112e1a2bbbb,32,Male,16,no,objTwoColors,#00FF00,56,55,146,2,Green    ,Green    ,0.24,0.15,0.13,0.13,0.1,0.09,0.17,0.17,0.16,0.16,0.17,0.37,0.37,0.46,0.37,0.37,0.49,0.49,0.53
571153ca15566,32,Male,32,no,objTwoColors,#00FF00,59,198,144,4,Green    ,Navy-Blue,0.58,0.02,0.14,0.03,0.06,0.07,0.49,0.51,0.5,0.51,0.51,0.28,0.29,0.17,0.29,0.29,0.43,0.43,0.87
5711666e6f11e,35,Female,1,no,objTwoColors,#00FF00,111,0,125,4,Green    ,Red      ,0.52,0.15,0.21,0.12,0.09,0.1,0.3,0.3,0.32,0.28,0.3,0.41,0.41,0.5,0.41,0.41,0.82,0.83,0.83
571252e6d2e70,31,Female,32,no,objTwoColors,#00FF00,57,214,122,5,Green    ,Blue     ,0.67,0.03,0.14,0.05,0.11,0.12,0.59,0.61,0.59,0.61,0.61,0.39,0.4,0.27,0.4,0.4,0.52,0.53,0.96
57153eb9b4bed,35,Female,31,no,objTwoColors,#00FF00,346,0,736,2,Red      ,Red      ,0.64,0.41,0.28,0.29,0.35,0.3,0.68,0.68,0.62,0.66,0.68,0.79,0.79,0.8,0.79,0.79,0.43,0.44,0.79
57190633f233f,30,Male,32,no,objTwoColors,#00FF00,57,200,176,4,Green    ,Navy-Blue,0.59,0.02,0.14,0.03,0.07,0.08,0.51,0.53,0.51,0.53,0.53,0.3,0.32,0.19,0.31,0.32,0.43,0.45,0.88
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF00,209,53,115,5,NA       ,Green    ,0.25,0.02,0.15,0.05,0.1,0.11,0.48,0.48,0.39,0.47,0.48,0.68,0.68,0.7,0.69,0.68,0.72,0.72,0.13
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF00,111,118,492,3,Green    ,Green    ,0.39,0.02,0.21,0.05,0.08,0.15,0.17,0.18,0.26,0.19,0.18,0.26,0.26,0.42,0.26,0.26,0.67,0.68,0.7
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF00,55,184,185,5,Green    ,Blue     ,0.5,0.02,0.13,0.03,0.04,0.04,0.43,0.44,0.44,0.44,0.44,0.22,0.22,0.18,0.22,0.22,0.33,0.34,0.79
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF00,173,139,210,5,Green    ,Green    ,0.15,0.13,0.08,0.04,0.07,0.09,0.37,0.4,0.35,0.41,0.4,0.43,0.44,0.47,0.45,0.44,0.61,0.6,0.45
5745b5cbe3caa,34,Female,32,no,objTwoColors,#00FF00,119,0,257,4,Green    ,Red      ,0.52,0.13,0.21,0.12,0.09,0.1,0.3,0.3,0.33,0.28,0.3,0.41,0.41,0.51,0.41,0.41,0.82,0.83,0.83
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF00,195,63,275,4,Sky-Blue ,Green    ,0.14,0.02,0.09,0.03,0.06,0.06,0.37,0.39,0.35,0.4,0.39,0.58,0.58,0.61,0.59,0.58,0.67,0.66,0.19
