id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12,distance_pair13
57110028bc74b,48,Female,32,no,objTwoColors,#00FF00,0,147,308,3,Red      ,NA       ,0.53,0.08,0.27,0.12,0.08,0.08,0.55,0.57,0.57,0.58,0.57,0.57,0.58,0.65,0.58,0.58,0.16,0.17,0.69
57112d8509632,45,Female,32,no,objTwoColors,#00FF00,59,223,95,4,Green    ,Blue     ,0.71,0.05,0.15,0.06,0.13,0.15,0.62,0.64,0.62,0.64,0.64,0.42,0.43,0.31,0.43,0.43,0.57,0.57,1
571154184c9bd,47,Female,32,no,objTwoColors,#00FF00,145,55,347,1,DK-Green ,Green    ,0.19,0,0.17,0.07,0.03,0.06,0.09,0.1,0.04,0.09,0.1,0.29,0.3,0.34,0.3,0.3,0.63,0.64,0.5
571183866d73f,48,Female,32,no,objTwoColors,#00FF00,57,219,122,5,Green    ,Blue     ,0.69,0.04,0.14,0.05,0.12,0.14,0.61,0.63,0.61,0.63,0.63,0.41,0.42,0.29,0.42,0.42,0.54,0.55,0.98
5713b10383207,40,Male,32,no,objTwoColors,#00FF00,215,58,700,5,Blue     ,Green    ,0.26,0.03,0.19,0.05,0.11,0.12,0.49,0.5,0.45,0.5,0.5,0.7,0.71,0.73,0.71,0.71,0.73,0.74,0.07
573664e1a4a96,49,Male,18,no,objTwoColors,#00FF00,65,181,86,4,Yellow   ,Blue     ,0.49,0.02,0.15,0.02,0.03,0.04,0.38,0.4,0.39,0.4,0.4,0.16,0.17,0.17,0.17,0.17,0.35,0.36,0.78
573c70dabcfe0,49,Male,32,yes,objTwoColors,#00FF00,55,221,192,2,Green    ,Blue     ,0.7,0.04,0.14,0.05,0.14,0.15,0.63,0.64,0.63,0.64,0.64,0.43,0.43,0.31,0.43,0.43,0.54,0.55,0.99
5740ad339507d,40,Male,32,yes,objTwoColors,#00FF00,228,67,205,3,Blue     ,Yellow   ,0.34,0.08,0.27,0.07,0.15,0.16,0.56,0.58,0.53,0.59,0.58,0.74,0.76,0.79,0.76,0.76,0.76,0.76,0.04
5740e3f36a945,49,Female,32,yes,objTwoColors,#00FF00,93,0,152,3,Green    ,Red      ,0.5,0.19,0.19,0.13,0.14,0.11,0.29,0.3,0.31,0.28,0.3,0.4,0.41,0.49,0.41,0.41,0.79,0.79,0.82
5776cc574bf84,45,Female,21,no,objTwoColors,#00FF00,172,59,133,5,Green    ,Green    ,0.01,0.02,0.08,0.03,0.03,0.02,0.23,0.25,0.19,0.26,0.25,0.45,0.46,0.47,0.46,0.46,0.63,0.63,0.32
